QuestionID,ParticipantID,Answer,Time,QuestionNo,QuestionID,CorrectAnswer,Hypothesis,ParticipantID,Age,Gender,Profession,Education
H1C4R10ST,7,Nillie,9.753,4,H1C4R10ST,Nillie,1,7,58,Male,Full-Time Employment,Undergraduate
H1C1R10ST,7,Nancy,5.626,5,H1C1R10ST,Nancy,1,7,58,Male,Full-Time Employment,Undergraduate
H1C2R15DB,7,70,16.496,6,H1C2R15DB,69,1,7,58,Male,Full-Time Employment,Undergraduate
H1C4R20DT,7,74,9.154,7,H1C4R20DT,74,1,7,58,Male,Full-Time Employment,Undergraduate
H1C2R10DT,7,79,8.1,8,H1C2R10DT,79,1,7,58,Male,Full-Time Employment,Undergraduate
H1C1R20DT,7,108,7.182,9,H1C1R20DT,108,1,7,58,Male,Full-Time Employment,Undergraduate
H1C2R20ST,7,Maria,9.562,10,H1C2R20ST,Maria,1,7,58,Male,Full-Time Employment,Undergraduate
H1C4R5DB,7,95,14.401,11,H1C4R5DB,93,1,7,58,Male,Full-Time Employment,Undergraduate
H1C2R5SB,7,Kenan,10.072,12,H1C2R5SB,Kenan,1,7,58,Male,Full-Time Employment,Undergraduate
H1C4R10ST,8,Nillie,23.555,1,H1C4R10ST,Nillie,1,8,36,Female,Full-Time Employment,Postgraduate
H1C4R15ST,9,Angus,7.091,1,H1C4R15ST,Angus,1,9,27,Male,Unemployed,Undergraduate
H1C4R5DT,9,93,7.845,2,H1C4R5DT,93,1,9,27,Male,Unemployed,Undergraduate
H1C4R10SB,9,Nillie,17.97,3,H1C4R10SB,Nillie,1,9,27,Male,Unemployed,Undergraduate
H1C1R10SB,9,Nancy,11.147,4,H1C1R10SB,Nancy,1,9,27,Male,Unemployed,Undergraduate
H1C4R20DB,9,80,13.315,5,H1C4R20DB,74,1,9,27,Male,Unemployed,Undergraduate
H1C1R20DB,9,108,13.906,6,H1C1R20DB,108,1,9,27,Male,Unemployed,Undergraduate
H1C2R20SB,9,Kenan,11.46,7,H1C2R20SB,Maria,1,9,27,Male,Unemployed,Undergraduate
H1C2R10DB,9,79,10.554,8,H1C2R10DB,$79,1,9,27,Male,Unemployed,Undergraduate
H1C2R5ST,9,Kenan,6.187,9,H1C2R5ST,Kenan,1,9,27,Male,Unemployed,Undergraduate
H1C1R15ST,9,Paige,7.12,10,H1C1R15ST,Paige,1,9,27,Male,Unemployed,Undergraduate
H1C2R15DT,9,69,9.016,11,H1C2R15DT,69,1,9,27,Male,Unemployed,Undergraduate
H1C1R5DT,9,46,4.627,12,H1C1R5DT,46,1,9,27,Male,Unemployed,Undergraduate
H1C4R15ST,10,Angus,28.8,1,H1C4R15ST,Angus,1,10,33,Female,Full-Time Employment,High School
H1C2R5ST,10,Kenan,15.101,2,H1C2R5ST,Kenan,1,10,33,Female,Full-Time Employment,High School
H1C4R10SB,10,Freddie,98.953,3,H1C4R10SB,Nillie,1,10,33,Female,Full-Time Employment,High School
H1C2R20SB,10,Ava,110.293,4,H1C2R20SB,Maria,1,10,33,Female,Full-Time Employment,High School
H1C2R10DB,10,110,41.836,5,H1C2R10DB,$79,1,10,33,Female,Full-Time Employment,High School
H1C1R10SB,10,Nancy,94.009,6,H1C1R10SB,Nancy,1,10,33,Female,Full-Time Employment,High School
H1C1R20DB,10,110,67.492,7,H1C1R20DB,108,1,10,33,Female,Full-Time Employment,High School
H1C4R5DT,10,93,22.733,8,H1C4R5DT,93,1,10,33,Female,Full-Time Employment,High School
H1C1R15ST,10,Paige,18.469,9,H1C1R15ST,Paige,1,10,33,Female,Full-Time Employment,High School
H1C4R20DB,10,60,95.521,10,H1C4R20DB,74,1,10,33,Female,Full-Time Employment,High School
H1C1R5DT,10,46,13.931,11,H1C1R5DT,46,1,10,33,Female,Full-Time Employment,High School
H1C2R15DT,10,69,17.824,12,H1C2R15DT,69,1,10,33,Female,Full-Time Employment,High School
H1C2R15DB,11,34,28.529,1,H1C2R15DB,69,1,11,29,Male,Full-Time Employment,Undergraduate
H1C1R15SB,11,paige,22.569,2,H1C1R15SB,Paige,1,11,29,Male,Full-Time Employment,Undergraduate
H1C1R5DB,12,$46,13.802,1,H1C1R5DB,46,1,12,51,Male,Full-Time Employment,Undergraduate
H1C4R10ST,12,Nillie,8.908,2,H1C4R10ST,Nillie,1,12,51,Male,Full-Time Employment,Undergraduate
H1C2R5SB,12,Kenan,9.785,3,H1C2R5SB,Kenan,1,12,51,Male,Full-Time Employment,Undergraduate
H1C2R15DB,12,$68,13.924,4,H1C2R15DB,69,1,12,51,Male,Full-Time Employment,Undergraduate
H1C1R10ST,12,Nancy,6.846,5,H1C1R10ST,Nancy,1,12,51,Male,Full-Time Employment,Undergraduate
H1C2R10DT,12,$79,13.065,6,H1C2R10DT,79,1,12,51,Male,Full-Time Employment,Undergraduate
H1C1R20DB,14,120,20.554,1,H1C1R20DB,108,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R20DT,12,$108,11.801,7,H1C1R20DT,108,1,12,51,Male,Full-Time Employment,Undergraduate
H1C4R5DT,14,93,19.621,2,H1C4R5DT,93,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R15SB,12,Paige,14.582,8,H1C1R15SB,Paige,1,12,51,Male,Full-Time Employment,Undergraduate
H1C4R5DB,11,80,94.38,3,H1C4R5DB,93,1,11,29,Male,Full-Time Employment,Undergraduate
H1C1R10SB,14,NANCY,14.413,3,H1C1R10SB,Nancy,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R20DT,12,$74,12.545,9,H1C4R20DT,74,1,12,51,Male,Full-Time Employment,Undergraduate
H1C1R10ST,15,Nancy,33.036,1,H1C1R10ST,Nancy,1,15,38,Male,Full-Time Employment,Postgraduate
H1C2R15DT,14,69,11.551,4,H1C2R15DT,69,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R5DB,12,$95,18.343,10,H1C4R5DB,93,1,12,51,Male,Full-Time Employment,Undergraduate
H1C2R20SB,17,Maria,33.113,1,H1C2R20SB,Maria,1,17,28,Male,Unemployed,Postgraduate
H1C2R20ST,12,Maria,8.311,11,H1C2R20ST,Maria,1,12,51,Male,Full-Time Employment,Undergraduate
H1C4R10SB,14,NISSAN,25.629,5,H1C4R10SB,Nillie,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R15ST,17,Angus,13.498,2,H1C4R15ST,Angus,1,17,28,Male,Unemployed,Postgraduate
H1C1R20DT,11,108,47.439,4,H1C1R20DT,108,1,11,29,Male,Full-Time Employment,Undergraduate
H1C4R15SB,12,Jake,21.29,12,H1C4R15SB,Angus,1,12,51,Male,Full-Time Employment,Undergraduate
H1C4R15ST,14,ANGUS,13.997,6,H1C4R15ST,Angus,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R10ST,11,nancy,11.44,5,H1C1R10ST,Nancy,1,11,29,Male,Full-Time Employment,Undergraduate
H1C2R5ST,14,KENAN,8.085,7,H1C2R5ST,Kenan,1,14,37,Male,Full-Time Employment,Postgraduate
H1C2R20ST,15,Maria,63.708,2,H1C2R20ST,Maria,1,15,38,Male,Full-Time Employment,Postgraduate
H1C4R10SB,17,Nillie,34.023,3,H1C4R10SB,Nillie,1,17,28,Male,Unemployed,Postgraduate
H1C2R10DB,14,90,17.78,8,H1C2R10DB,$79,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R5DT,14,46,10.563,9,H1C1R5DT,46,1,14,37,Male,Full-Time Employment,Postgraduate
H1C2R10DB,17,79,17.69,4,H1C2R10DB,$79,1,17,28,Male,Unemployed,Postgraduate
H1C2R10DT,15,79,25.171,3,H1C2R10DT,79,1,15,38,Male,Full-Time Employment,Postgraduate
H1C4R15SB,11,angus,43.044,6,H1C4R15SB,Angus,1,11,29,Male,Full-Time Employment,Undergraduate
H1C2R15DT,17,69,9.844,5,H1C2R15DT,69,1,17,28,Male,Unemployed,Postgraduate
H1C2R10DB,14,80,172.131,1,H1C2R10DB,$79,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R15ST,17,Paige,12.544,6,H1C1R15ST,Paige,1,17,28,Male,Unemployed,Postgraduate
H1C4R20DB,14,75,25.391,10,H1C4R20DB,74,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R20DT,15,108,24.281,4,H1C1R20DT,108,1,15,38,Male,Full-Time Employment,Postgraduate
H1C4R5DT,17,93,9.341,7,H1C4R5DT,93,1,17,28,Male,Unemployed,Postgraduate
H1C1R15ST,14,PAIGE,14.156,11,H1C1R15ST,Paige,1,14,37,Male,Full-Time Employment,Postgraduate
H1C2R20SB,14,MARIA,23.14,12,H1C2R20SB,Maria,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R20DB,17,108,29.844,8,H1C1R20DB,108,1,17,28,Male,Unemployed,Postgraduate
H1C2R5SB,11,james,66.045,7,H1C2R5SB,Kenan,1,11,29,Male,Full-Time Employment,Undergraduate
H1C1R5DT,17,46,12.353,9,H1C1R5DT,46,1,17,28,Male,Unemployed,Postgraduate
H1C4R10ST,11,nille,11.539,8,H1C4R10ST,Nillie,1,11,29,Male,Full-Time Employment,Undergraduate
H1C2R5ST,17,Kenan,16.049,10,H1C2R5ST,Kenan,1,17,28,Male,Unemployed,Postgraduate
H1C1R15SB,15,Paiga,65.252,5,H1C1R15SB,Paige,1,15,38,Male,Full-Time Employment,Postgraduate
H1C4R20DT,11,74,12.146,9,H1C4R20DT,74,1,11,29,Male,Full-Time Employment,Undergraduate
H1C2R10DT,11,79,8.434,10,H1C2R10DT,79,1,11,29,Male,Full-Time Employment,Undergraduate
H1C2R20ST,11,maria,10.323,11,H1C2R20ST,Maria,1,11,29,Male,Full-Time Employment,Undergraduate
H1C4R10SB,14,Nillie,94.786,2,H1C4R10SB,Nillie,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R5DB,15,45,27.455,6,H1C1R5DB,46,1,15,38,Male,Full-Time Employment,Postgraduate
H1C1R5DB,11,47,12.548,12,H1C1R5DB,46,1,11,29,Male,Full-Time Employment,Undergraduate
H1C4R20DB,17,75,35.992,11,H1C4R20DB,74,1,17,28,Male,Unemployed,Postgraduate
H1C1R10SB,17,nancy,16.137,12,H1C1R10SB,Nancy,1,17,28,Male,Unemployed,Postgraduate
H1C2R20SB,14,Maris,46.46,3,H1C2R20SB,Maria,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R15SB,15,Cadillac,75.689,7,H1C4R15SB,Angus,1,15,38,Male,Full-Time Employment,Postgraduate
H1C1R15ST,14,Paige,43.418,4,H1C1R15ST,Paige,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R20DT,15,74,18.389,8,H1C4R20DT,74,1,15,38,Male,Full-Time Employment,Postgraduate
H1C4R15ST,14,Angus,20.272,5,H1C4R15ST,Angus,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R10ST,15,Nillie,17.819,9,H1C4R10ST,Nillie,1,15,38,Male,Full-Time Employment,Postgraduate
H1C4R20DB,14,75,99.654,6,H1C4R20DB,74,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R5DT,14,46,14.749,7,H1C1R5DT,46,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R10SB,14,Nancy,71.383,8,H1C1R10SB,Nancy,1,14,37,Male,Full-Time Employment,Postgraduate
H1C1R20DB,14,108,87.749,9,H1C1R20DB,108,1,14,37,Male,Full-Time Employment,Postgraduate
H1C2R5ST,14,Kenan,16.923,10,H1C2R5ST,Kenan,1,14,37,Male,Full-Time Employment,Postgraduate
H1C2R15DT,14,69,22.547,11,H1C2R15DT,69,1,14,37,Male,Full-Time Employment,Postgraduate
H1C4R5DT,14,93,15.363,12,H1C4R5DT,93,1,14,37,Male,Full-Time Employment,Postgraduate
H1C2R15DT,18,69,18.857,1,H1C2R15DT,69,1,18,54,Male,Full-Time Employment,Undergraduate
H1C1R15SB,19,Paige,9.934,1,H1C1R15SB,Paige,1,19,38,Male,Full-Time Employment,Undergraduate
H1C2R15DB,19,70,8.634,2,H1C2R15DB,69,1,19,38,Male,Full-Time Employment,Undergraduate
H1C2R5ST,18,Kenan,15.286,2,H1C2R5ST,Kenan,1,18,54,Male,Full-Time Employment,Undergraduate
H1C2R5SB,19,Kenan,10.195,3,H1C2R5SB,Kenan,1,19,38,Male,Full-Time Employment,Undergraduate
H1C4R5DT,18,$93,16.314,3,H1C4R5DT,93,1,18,54,Male,Full-Time Employment,Undergraduate
H1C4R5DB,19,$90,9.541,4,H1C4R5DB,93,1,19,38,Male,Full-Time Employment,Undergraduate
H1C4R20DT,19,$74,7.44,5,H1C4R20DT,74,1,19,38,Male,Full-Time Employment,Undergraduate
H1C4R10ST,19,Nillie,11.871,6,H1C4R10ST,Nillie,1,19,38,Male,Full-Time Employment,Undergraduate
H1C2R20ST,19,Maria,5.482,7,H1C2R20ST,Maria,1,19,38,Male,Full-Time Employment,Undergraduate
H1C4R20DB,20,75,45.014,1,H1C4R20DB,74,1,20,28,Male,Full-Time Employment,Undergraduate
H1C1R5DB,19,$46,7.201,8,H1C1R5DB,46,1,19,38,Male,Full-Time Employment,Undergraduate
H1C2R10DT,19,$79,5.294,9,H1C2R10DT,79,1,19,38,Male,Full-Time Employment,Undergraduate
H1C4R10SB,18,Nillie,39.994,4,H1C4R10SB,Nillie,1,18,54,Male,Full-Time Employment,Undergraduate
H1C1R10ST,19,Nancy,4.877,10,H1C1R10ST,Nancy,1,19,38,Male,Full-Time Employment,Undergraduate
H1C2R5ST,20,kenan,16.8,2,H1C2R5ST,Kenan,1,20,28,Male,Full-Time Employment,Undergraduate
H1C4R20DB,22,75,53.048,1,H1C4R20DB,74,1,22,33,Male,Other,High School
H1C4R15SB,19,Jake,11.85,11,H1C4R15SB,Angus,1,19,38,Male,Full-Time Employment,Undergraduate
H1C1R20DT,19,$108,6.061,12,H1C1R20DT,108,1,19,38,Male,Full-Time Employment,Undergraduate
H1C1R15ST,20,Paige,17.626,3,H1C1R15ST,Paige,1,20,28,Male,Full-Time Employment,Undergraduate
H1C2R20SB,18,Maria,33.071,5,H1C2R20SB,Maria,1,18,54,Male,Full-Time Employment,Undergraduate
H1C2R15DT,22,$69,18.789,2,H1C2R15DT,69,1,22,33,Male,Other,High School
H1C4R10SB,21,Nille,90.21,1,H1C4R10SB,Nillie,1,21,49,Male,Full-Time Employment,Postgraduate
H1C4R15ST,18,Angus,22.819,6,H1C4R15ST,Angus,1,18,54,Male,Full-Time Employment,Undergraduate
H1C1R10SB,20,Nilio,32.773,4,H1C1R10SB,Nancy,1,20,28,Male,Full-Time Employment,Undergraduate
H1C1R15ST,18,Paige,11.792,7,H1C1R15ST,Paige,1,18,54,Male,Full-Time Employment,Undergraduate
H1C1R10SB,18,Nancy,17.631,8,H1C1R10SB,Nancy,1,18,54,Male,Full-Time Employment,Undergraduate
H1C2R20SB,22,Maria,52.858,3,H1C2R20SB,Maria,1,22,33,Male,Other,High School
H1C1R20DB,20,108,38.971,5,H1C1R20DB,108,1,20,28,Male,Full-Time Employment,Undergraduate
H1C2R20SB,20,Paige,42.579,6,H1C2R20SB,Maria,1,20,28,Male,Full-Time Employment,Undergraduate
H1C1R10SB,22,Nancy,55.698,4,H1C1R10SB,Nancy,1,22,33,Male,Other,High School
H1C2R10DB,21,79,98.32,2,H1C2R10DB,$79,1,21,49,Male,Full-Time Employment,Postgraduate
H1C1R15ST,22,Paige,12.122,5,H1C1R15ST,Paige,1,22,33,Male,Other,High School
H1C4R20DB,18,$75,72.776,9,H1C4R20DB,74,1,18,54,Male,Full-Time Employment,Undergraduate
H1C2R15DT,20,$69,19.427,7,H1C2R15DT,69,1,20,28,Male,Full-Time Employment,Undergraduate
H1C4R15ST,22,Angus,17.434,6,H1C4R15ST,Angus,1,22,33,Male,Other,High School
H1C4R5DT,22,$93,11.103,7,H1C4R5DT,93,1,22,33,Male,Other,High School
H1C1R20DB,18,$108,28.21,10,H1C1R20DB,108,1,18,54,Male,Full-Time Employment,Undergraduate
H1C1R20DB,21,108,46.798,3,H1C1R20DB,108,1,21,49,Male,Full-Time Employment,Postgraduate
H1C1R5DT,22,$46,16.16,8,H1C1R5DT,46,1,22,33,Male,Other,High School
H1C1R15ST,21,Paige,19.267,4,H1C1R15ST,Paige,1,21,49,Male,Full-Time Employment,Postgraduate
H1C2R10DB,18,$78,27.983,11,H1C2R10DB,$79,1,18,54,Male,Full-Time Employment,Undergraduate
H1C2R10DB,22,$79,25.638,9,H1C2R10DB,$79,1,22,33,Male,Other,High School
H1C1R5DT,18,$46,11.246,12,H1C1R5DT,46,1,18,54,Male,Full-Time Employment,Undergraduate
H1C1R5DT,21,46,17.94,5,H1C1R5DT,46,1,21,49,Male,Full-Time Employment,Postgraduate
H1C4R10SB,20,Cristiano ,80.859,8,H1C4R10SB,Nillie,1,20,28,Male,Full-Time Employment,Undergraduate
H1C4R15ST,21,Angus,18.891,6,H1C4R15ST,Angus,1,21,49,Male,Full-Time Employment,Postgraduate
H1C4R10SB,22,Nillie,31.497,10,H1C4R10SB,Nillie,1,22,33,Male,Other,High School
H1C2R10DB,20,79,26.51,9,H1C2R10DB,$79,1,20,28,Male,Full-Time Employment,Undergraduate
H1C2R5ST,22,Kenan,12.453,11,H1C2R5ST,Kenan,1,22,33,Male,Other,High School
H1C1R10SB,21,Nancy,36.429,7,H1C1R10SB,Nancy,1,21,49,Male,Full-Time Employment,Postgraduate
H1C1R5DT,20,$46,24.224,10,H1C1R5DT,46,1,20,28,Male,Full-Time Employment,Undergraduate
H1C4R5DT,20,$93,11.147,11,H1C4R5DT,93,1,20,28,Male,Full-Time Employment,Undergraduate
H1C4R15ST,20,Angus,13.574,12,H1C4R15ST,Angus,1,20,28,Male,Full-Time Employment,Undergraduate
H1C2R15DT,21,$69,31.976,8,H1C2R15DT,69,1,21,49,Male,Full-Time Employment,Postgraduate
H1C1R20DB,22,$108,51.507,12,H1C1R20DB,108,1,22,33,Male,Other,High School
H1C2R5ST,21,Kenan,26.454,9,H1C2R5ST,Kenan,1,21,49,Male,Full-Time Employment,Postgraduate
H1C4R5DT,21,$93,35.023,10,H1C4R5DT,93,1,21,49,Male,Full-Time Employment,Postgraduate
H1C4R15ST,25,Angus,9.4,1,H1C4R15ST,Angus,1,25,38,Male,Full-Time Employment,Undergraduate
H1C1R10SB,25,Nancy,8.57,2,H1C1R10SB,Nancy,1,25,38,Male,Full-Time Employment,Undergraduate
H1C1R5DT,25,46,5.656,3,H1C1R5DT,46,1,25,38,Male,Full-Time Employment,Undergraduate
H1C2R15DT,25,69,7.583,4,H1C2R15DT,69,1,25,38,Male,Full-Time Employment,Undergraduate
H1C2R10DB,23,110,469.676,1,H1C2R10DB,$79,1,23,29,Male,Full-Time Employment,Undergraduate
H1C2R10DB,25,80,8.886,5,H1C2R10DB,$79,1,25,38,Male,Full-Time Employment,Undergraduate
H1C4R10SB,25,Nillie,14.869,6,H1C4R10SB,Nillie,1,25,38,Male,Full-Time Employment,Undergraduate
H1C4R20DB,21,75,96.72,11,H1C4R20DB,74,1,21,49,Male,Full-Time Employment,Postgraduate
